"id";"web_name";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
379;"Walker";65;777;225;552;1;1;NA
199;"Mahrez";85;751;675;76;7;24;NA
57;"Hünemeier";40;714;15;699;NA;NA;NA
13;"Kolasinac";60;696;543;153;NA;1;NA
209;"Vardy";86;641;522;119;28;64;1
380;"Vertonghen";60;640;595;45;1;4;NA
227;"Can";50;632;254;378;NA;1;NA
367;"Carroll";45;629;98;531;NA;NA;NA
324;"Redmond";65;624;515;109;NA;3;NA
7;"Bellerín";60;622;447;175;NA;3;NA
193;"Simpson";45;617;119;498;NA;NA;NA
306;"Forster";50;595;352;243;NA;63;NA
171;"Zanka";46;587;434;153;NA;1;NA
28;"Lacazette";105;560;535;25;12;100;1
472;"Morata";100;555;540;15;32;104;NA
257;"Agüero";115;552;547;5;149;152;4
74;"Heaton";50;547;110;437;NA;25;NA
22;"Elneny";45;543;150;393;NA;1;NA
31;"Federici";40;537;3;534;NA;1;NA
409;"Capoue";54;523;311;212;NA;2;NA
107;"Matic";50;514;396;118;NA;6;NA
483;"Danilo";55;509;451;58;1;2;NA
494;"Mbemba";40;489;43;446;NA;NA;NA
29;"Begovic";45;475;56;419;NA;15;NA
38;"Aké";50;474;164;310;NA;NA;NA
318;"Tadic";65;464;415;49;NA;2;NA
420;"Myhill";40;463;NA;463;NA;NA;NA
143;"Williams";55;453;288;165;2;3;NA
384;"Dier";50;431;240;191;NA;4;NA
37;"Brad Smith";40;409;18;391;NA;NA;NA
501;"Richarlison";60;405;377;28;9;13;NA
244;"Kompany";60;390;368;22;NA;6;NA
320;"Oriol Romeu";45;390;52;338;NA;NA;NA
127;"McArthur";45;388;29;359;NA;NA;NA
186;"Quaner";45;384;34;350;NA;NA;NA
308;"Yoshida";50;381;319;62;NA;1;NA
222;"Milner";65;372;305;67;NA;2;NA
405;"Mariappa";40;367;10;357;NA;NA;NA
192;"Fuchs";50;356;146;210;NA;NA;NA
99;"Zouma";55;352;245;107;NA;NA;NA
350;"Fabianski";45;349;78;271;NA;15;NA
211;"Okazaki";55;348;195;153;1;2;NA
394;"Kane";125;347;340;7;153;87;5
189;"Schmeichel";50;345;89;256;NA;21;NA
328;"Butland";50;345;216;129;NA;53;NA
345;"Sobhi";49;341;59;282;NA;NA;NA
432;"Phillips";60;334;281;53;1;5;1
91;"Vokes";60;332;198;134;NA;6;NA
80;"Long";40;330;10;320;NA;NA;NA
191;"Morgan";45;326;51;275;NA;1;NA
188;"Mounie";61;310;270;40;3;11;NA
78;"Ward";45;307;91;216;NA;NA;NA
402;"Britos";45;299;245;54;NA;1;NA
240;"Ederson";55;293;238;55;NA;57;NA
97;"Azpilicueta";65;291;237;54;NA;2;NA
30;"Boruc";45;288;10;278;NA;2;NA
164;"Schindler";45;288;194;94;NA;NA;NA
126;"Zaha";69;286;78;208;NA;NA;NA
247;"Sterling";79;286;262;24;NA;5;NA
337;"Allen";55;285;104;181;NA;1;NA
330;"Shawcross";50;284;197;87;NA;2;NA
385;"Dembélé";50;279;178;101;NA;1;NA
414;"Doucouré";51;278;179;99;NA;1;NA
163;"Lössl";45;267;167;100;NA;22;NA
269;"Fosu-Mensah";45;266;132;134;NA;NA;NA
116;"Speroni";40;258;1;257;NA;NA;NA
382;"Trippier";54;257;157;100;NA;2;NA
300;"Atsu";50;250;99;151;NA;NA;NA
60;"Rosenior";40;248;4;244;NA;NA;NA
219;"Matip";55;248;192;56;NA;NA;NA
475;"Robertson";49;235;155;80;NA;NA;NA
293;"Gámez";40;230;15;215;NA;NA;NA
372;"McBurnie";45;214;9;205;NA;NA;NA
162;"Coleman";40;212;NA;212;NA;NA;NA
250;"Fernandinho";50;211;153;58;1;1;NA
292;"Hanley";40;205;10;195;NA;NA;NA
373;"Ayew";50;205;68;137;NA;1;NA
447;"Zabaleta";50;204;83;121;NA;NA;NA
352;"Naughton";45;199;84;115;NA;NA;NA
264;"Jones";50;195;186;9;NA;NA;NA
2;"Cech";55;189;73;116;NA;23;NA
359;"Sigurdsson";84;189;145;44;NA;3;NA
134;"Benteke";79;187;157;30;19;8;NA
351;"Nordfeldt";40;184;NA;184;NA;NA;NA
200;"Albrighton";55;183;77;106;NA;3;NA
239;"Solanke";49;181;14;167;NA;NA;NA
397;"Gomes";45;180;76;104;NA;12;NA
465;"Haidara";40;180;10;170;NA;NA;NA
10;"Monreal";55;178;79;99;NA;1;NA
112;"Chalobah";45;178;47;131;NA;NA;NA
406;"Mason";40;178;7;171;NA;NA;NA
115;"Hennessey";45;174;92;82;NA;22;NA
303;"Mitrovic";49;174;16;158;NA;NA;NA
19;"Chamberlain";60;170;100;70;NA;NA;NA
270;"Blind";55;169;162;7;NA;NA;NA
124;"van Aanholt";55;167;113;54;1;NA;NA
151;"Barry";45;166;33;133;NA;NA;NA
223;"Alexander-Arnold";45;156;40;116;NA;NA;NA
90;"Cork";45;150;15;135;NA;NA;NA
12;"Mustafi";55;149;79;70;NA;1;NA
440;"Fonte";50;145;63;82;NA;NA;NA
342;"Shaqiri";59;144;32;112;NA;1;NA
448;"Snodgrass";58;144;26;118;NA;NA;NA
32;"Francis";45;142;6;136;NA;NA;NA
53;"Mäenpää";40;142;NA;142;NA;NA;NA
422;"Nyom";50;142;115;27;NA;NA;NA
374;"Abraham";55;140;60;80;NA;NA;NA
232;"Wijnaldum";70;136;109;27;NA;NA;NA
317;"Ward-Prowse";55;132;58;74;NA;NA;NA
347;"Crouch";49;132;4;128;1;NA;NA
18;"Ramsey";70;131;104;27;NA;2;NA
182;"Ince";60;131;81;50;1;2;NA
295;"Ritchie";60;131;55;76;NA;2;NA
159;"Calvert-Lewin";50;127;40;87;NA;NA;NA
165;"Löwe";45;127;67;60;NA;1;NA
437;"Rodriguez";59;121;79;42;NA;3;NA
55;"Dunk";45;120;13;107;NA;NA;NA
259;"Jesus";104;117;105;12;8;22;1
498;"Walker-Peters";45;115;52;63;NA;NA;NA
280;"Martial";80;113;113;NA;1;3;NA
92;"Gray";65;112;78;34;4;4;NA
477;"Manquillo";45;109;25;84;NA;NA;NA
131;"Townsend";59;108;55;53;NA;NA;NA
284;"Rashford";75;107;94;13;NA;11;NA
105;"Fàbregas";69;106;64;42;1;2;NA
434;"Brunt";55;104;77;27;NA;NA;NA
216;"Moreno";45;102;27;75;NA;NA;NA
21;"Iwobi";53;101;8;93;NA;NA;NA
226;"Coutinho";89;101;38;63;1;3;NA
144;"Holgate";44;100;22;78;NA;NA;NA
255;"Sané";83;100;81;19;NA;1;NA
213;"Mignolet";50;99;39;60;NA;13;NA
290;"Lascelles";45;99;17;82;NA;NA;NA
98;"Cahill";64;94;14;80;NA;1;NA
346;"Fletcher";50;93;32;61;NA;NA;NA
225;"Henderson";55;89;50;39;1;2;NA
354;"Fernández";45;89;40;49;NA;NA;NA
332;"Pieters";50;88;48;40;NA;NA;NA
51;"King";74;86;53;33;NA;1;NA
76;"Lowton";45;86;22;64;NA;NA;NA
401;"Holebas";50;86;24;62;NA;NA;NA
326;"Austin";64;85;52;33;1;NA;NA
452;"Obiang";45;85;12;73;NA;NA;NA
117;"Tomkins";45;84;33;51;NA;NA;NA
155;"Gueye";50;83;26;57;NA;NA;NA
302;"Pérez";55;82;28;54;NA;1;NA
357;"Mawson";50;82;38;44;NA;NA;NA
3;"Martinez";40;77;NA;77;NA;NA;NA
273;"Lindelöf";52;77;32;45;NA;NA;NA
148;"Mirallas";64;73;32;41;NA;NA;NA
109;"Pedro";79;71;61;10;NA;1;NA
132;"Milivojevic";49;71;17;54;NA;NA;NA
299;"Colback";45;70;1;69;NA;NA;NA
316;"Davis";50;70;34;36;NA;NA;NA
444;"Ogbonna";45;69;23;46;NA;NA;NA
301;"Gayle";64;67;20;47;NA;NA;NA
311;"van Dijk";55;67;15;52;NA;1;NA
11;"Holding";49;66;12;54;NA;NA;NA
154;"Schneiderlin";50;66;5;61;NA;NA;NA
278;"Herrera";54;66;25;41;NA;1;NA
423;"Evans";49;65;12;53;NA;1;NA
54;"Ryan";45;64;2;62;NA;NA;NA
241;"Bravo";49;64;10;54;NA;6;NA
61;"Goldson";40;63;2;61;NA;NA;NA
313;"Stephens";50;63;49;14;NA;NA;NA
329;"Grant";45;63;1;62;NA;NA;NA
125;"Puncheon";50;62;21;41;NA;NA;NA
201;"King";45;62;6;56;NA;NA;NA
137;"Stekelenburg";45;61;2;59;NA;2;NA
425;"McAuley";50;61;3;58;NA;NA;NA
118;"Dann";50;60;41;19;NA;2;NA
26;"Welbeck";75;58;38;20;NA;1;NA
442;"Reid";50;58;7;51;NA;NA;NA
407;"Kiko Femenía";45;57;42;15;NA;NA;NA
418;"Okaka";55;57;27;30;NA;2;NA
258;"Iheanacho";69;56;13;43;NA;NA;NA
370;"Mesa";45;56;5;51;NA;NA;NA
35;"Adam Smith";50;54;9;45;NA;NA;NA
156;"Davies";54;54;12;42;NA;NA;NA
463;"Bakayoko";50;54;20;34;NA;NA;NA
62;"Knockaert";59;52;14;38;NA;NA;NA
103;"Rüdiger";60;52;31;21;NA;1;NA
289;"Clark";45;52;15;37;NA;NA;NA
389;"Wanyama";50;51;19;32;NA;NA;NA
400;"Prödl";45;51;34;17;NA;NA;NA
215;"Lovren";55;50;17;33;NA;NA;NA
220;"Klavan";45;50;19;31;NA;NA;NA
