"entry";"rank";"gw_points";"points_on_bench";"chip_played";"team_value";"in_bank";"transfers_done";"transfers_cost"
"79375";"256";"0";"0";"";"1008";"8";"2";"4"
"100605";"256";"0";"0";"";"1010";"0";"1";"0"
"106634";"256";"0";"0";"";"1007";"14";"1";"0"
"334031";"256";"0";"0";"";"1006";"8";"1";"0"
"358045";"256";"0";"0";"";"1008";"0";"1";"0"
"370742";"256";"0";"0";"";"1009";"9";"1";"0"
"655993";"256";"0";"0";"freehit";"1006";"0";"0";"0"
"792958";"256";"0";"0";"freehit";"1004";"20";"0";"0"
"958372";"256";"0";"0";"";"1010";"10";"1";"0"
"1289290";"256";"0";"0";"";"1008";"0";"1";"0"
"1301841";"256";"0";"0";"";"1003";"9";"1";"0"
"1365156";"256";"0";"0";"";"1007";"0";"1";"0"
"1438681";"256";"0";"0";"";"1013";"0";"0";"0"
"1800867";"256";"0";"0";"3xc";"1007";"5";"1";"0"
"1808066";"256";"0";"0";"";"1006";"8";"1";"0"
"1960489";"256";"0";"0";"";"1009";"1";"1";"0"
"1974736";"256";"0";"0";"";"1007";"0";"0";"0"
"2007687";"256";"0";"0";"";"1006";"0";"0";"0"
"2121707";"256";"0";"0";"";"1004";"3";"1";"0"
"2249738";"256";"0";"0";"";"1001";"0";"1";"0"
"2420068";"256";"0";"0";"";"1006";"9";"1";"0"
"2540100";"256";"0";"0";"";"1006";"34";"1";"0"
"2820658";"256";"0";"0";"";"1010";"0";"1";"0"
"2980260";"256";"0";"0";"";"1010";"0";"2";"4"
"3079405";"256";"0";"0";"";"1010";"0";"0";"0"
"3113001";"256";"0";"0";"";"1011";"0";"0";"0"
"3126982";"256";"0";"0";"";"1002";"4";"4";"12"
"3304149";"256";"0";"0";"";"1005";"5";"1";"0"
"3307438";"256";"0";"0";"";"1006";"0";"1";"0"
"3504486";"256";"0";"0";"";"1009";"29";"1";"0"
"3513136";"256";"0";"0";"";"1009";"5";"0";"0"
"3680226";"256";"0";"0";"wildcard";"1008";"4";"0";"0"
"53864";"288";"0";"0";"";"1005";"0";"1";"0"
"1528638";"288";"0";"0";"";"1008";"5";"1";"0"
"1625695";"288";"0";"0";"";"1007";"0";"2";"4"
"2630294";"288";"0";"0";"";"1005";"7";"6";"20"
"3154063";"288";"0";"0";"";"1009";"10";"6";"20"
"80248";"293";"0";"0";"";"1007";"0";"0";"0"
"149356";"293";"0";"0";"";"1008";"5";"2";"0"
"257370";"293";"0";"0";"";"1006";"0";"2";"0"
"342545";"293";"0";"0";"";"1010";"28";"1";"0"
"372052";"293";"0";"0";"";"1005";"17";"2";"0"
"523061";"293";"0";"0";"";"1006";"3";"2";"0"
"540806";"293";"0";"0";"";"1010";"0";"1";"0"
"561714";"293";"0";"0";"";"1009";"9";"2";"0"
"703629";"293";"0";"0";"";"1007";"15";"0";"0"
"787375";"293";"0";"0";"";"1003";"2";"4";"12"
"996668";"293";"0";"0";"bboost";"1008";"0";"1";"0"
"1069123";"293";"0";"0";"";"1005";"4";"1";"0"
"1090581";"293";"0";"0";"";"1008";"5";"2";"0"
"1239365";"293";"0";"0";"";"1006";"29";"1";"0"
"1363365";"293";"0";"0";"";"1007";"0";"0";"0"
"1661106";"293";"0";"0";"";"1003";"0";"1";"0"
"1805677";"293";"0";"0";"";"1006";"5";"2";"0"
"1905913";"293";"0";"0";"";"1006";"24";"2";"0"
"1957524";"293";"0";"0";"";"1006";"10";"1";"0"
"1988349";"293";"0";"0";"";"1010";"15";"2";"0"
"1995353";"293";"0";"0";"";"1001";"4";"1";"0"
"2218596";"293";"0";"0";"";"1003";"0";"0";"0"
"2279438";"293";"0";"0";"";"1010";"5";"2";"0"
"2332105";"293";"0";"0";"";"1008";"0";"0";"0"
"2388986";"293";"0";"0";"";"1008";"0";"1";"0"
"2452467";"293";"0";"0";"";"1010";"13";"2";"0"
"2473153";"293";"0";"0";"";"1007";"5";"0";"0"
"2483103";"293";"0";"0";"";"1005";"0";"0";"0"
"2580427";"293";"0";"0";"";"1006";"7";"2";"0"
"2865844";"293";"0";"0";"";"1005";"3";"2";"0"
"3226059";"293";"0";"0";"";"1008";"0";"1";"0"
"3268098";"293";"0";"0";"";"1006";"0";"0";"0"
"3399552";"293";"0";"0";"";"1009";"5";"1";"0"
"3529340";"293";"0";"0";"";"1005";"5";"0";"0"
"3642016";"293";"0";"0";"";"1007";"0";"2";"0"
"3753888";"293";"0";"0";"";"1007";"2";"2";"0"
"3854100";"293";"0";"0";"";"1003";"0";"0";"0"
"3866615";"293";"0";"0";"";"1010";"0";"0";"0"
"7232";"331";"0";"0";"";"1009";"9";"0";"0"
"19961";"331";"0";"0";"";"1006";"5";"0";"0"
"32364";"331";"0";"0";"";"1010";"4";"1";"0"
"84056";"331";"0";"0";"";"1005";"24";"1";"0"
"103252";"331";"0";"0";"";"1006";"6";"1";"0"
"125444";"331";"0";"0";"";"1007";"4";"1";"0"
"336337";"331";"0";"0";"";"1007";"5";"1";"0"
"559945";"331";"0";"0";"";"1009";"0";"1";"0"
"743952";"331";"0";"0";"";"1006";"19";"1";"0"
"840406";"331";"0";"0";"";"1007";"5";"0";"0"
"857886";"331";"0";"0";"";"1011";"0";"0";"0"
"1126771";"331";"0";"0";"wildcard";"1011";"18";"0";"0"
"1215337";"331";"0";"0";"";"1009";"0";"1";"0"
"1222037";"331";"0";"0";"";"1005";"14";"1";"0"
"1288089";"331";"0";"0";"";"1008";"4";"1";"0"
"1326760";"331";"0";"0";"";"1007";"15";"1";"0"
"1326817";"331";"0";"0";"";"1007";"0";"0";"0"
"1641071";"331";"0";"0";"";"1010";"10";"0";"0"
"1641455";"331";"0";"0";"";"1007";"4";"1";"0"
"1738772";"331";"0";"0";"";"1007";"4";"2";"4"
"1835705";"331";"0";"0";"";"1010";"15";"1";"0"
"1916363";"331";"0";"0";"";"1010";"8";"1";"0"
"2093376";"331";"0";"0";"";"1009";"4";"1";"0"
"2116330";"331";"0";"0";"";"1010";"5";"1";"0"
"2134746";"331";"0";"0";"";"1006";"10";"1";"0"
"2171736";"331";"0";"0";"";"1008";"5";"1";"0"
"2222686";"331";"0";"0";"";"1009";"0";"0";"0"
"2332631";"331";"0";"0";"";"1007";"5";"0";"0"
"2518940";"331";"0";"0";"";"1001";"0";"0";"0"
"2684901";"331";"0";"0";"3xc";"1007";"5";"0";"0"
"2815431";"331";"0";"0";"3xc";"1007";"0";"0";"0"
"3044252";"331";"0";"0";"";"1008";"11";"2";"4"
"3368225";"331";"0";"0";"freehit";"1006";"0";"0";"0"
"3624406";"331";"0";"0";"";"1004";"0";"1";"0"
"3649676";"331";"0";"0";"";"1007";"0";"1";"0"
"71328";"366";"0";"0";"";"1010";"0";"1";"0"
"1712273";"366";"0";"0";"";"1007";"0";"1";"0"
"3555446";"366";"0";"0";"";"1006";"35";"1";"0"
"7131";"369";"0";"0";"";"1007";"5";"2";"0"
"62543";"369";"0";"0";"";"1009";"0";"2";"0"
"433456";"369";"0";"0";"";"1007";"0";"0";"0"
"819787";"369";"0";"0";"wildcard";"1007";"3";"0";"0"
"936413";"369";"0";"0";"";"1009";"5";"2";"0"
"1019923";"369";"0";"0";"";"1003";"0";"0";"0"
"1098141";"369";"0";"0";"";"1007";"0";"2";"0"
"1246753";"369";"0";"0";"3xc";"1002";"1";"2";"4"
"1281042";"369";"0";"0";"";"1003";"0";"0";"0"
"1336359";"369";"0";"0";"";"1008";"20";"0";"0"
"1426029";"369";"0";"0";"";"1008";"0";"0";"0"
